	http://www.google.com/	http://groups.google.co.il/grphp?ie=ISO-8859-8-I&oe=ISO-8859-8-I&hl=iw&tab=wg	http://www.google.com/intl/iw/ads	http://www.google.co.il/	http://www.google.co.il/intl/iw/about.html	http://www.google.com/adsense/?hl=iw&sourceid=aso&subid=ww-iw-et-ads&medium=link	http://www.google.com/intl/iw/about.html	http://www.google.co.il/intl/iw/ads	http://www.google.co.il/intl/iw/help/index.html	http://www.google.co.il/intl/iw/options/index.html	http://www.google.co.il/intl/iw/ads/index.html	http://www.google.com/addurl.html	http://www.google.co.il/intl/iw/webmasters	http://www.google.co.il/intl/iw/press/index.html	http://www.google.co.il/intl/iw/corporate/index.html	http://www.google.co.il/support/jobs/bin/topic.py?jobslg=iw	http://www.google.co.il/intl/iw/contact/index.html	http://www.google.co.il/intl/iw/stickers.html	http://www.google.co.il/intl/iw/privacy.html	http://www.google.co.il/intl/iw/terms_of_service.html	https://www.google.com/adsense/?hl=iw&sourceid=aso&subid=ww-iw-et-ads&medium=link	http://www.google.com/intl/iw/help/index.html	http://www.google.com/intl/iw/options/index.html	http://www.google.com/intl/iw/ads/index.html	http://www.google.com/intl/iw/webmasters	http://www.google.com/intl/iw/press/index.html	http://www.google.com/intl/iw/corporate/index.html	http://www.google.com/support/jobs/bin/topic.py?jobslg=iw	http://www.google.com/intl/iw/contact/index.html	http://www.google.com/intl/iw/stickers.html	http://www.google.com/intl/iw/privacy.html	http://www.google.com/intl/iw/terms_of_service.html	http://www.google.co.il/about.html	http://www.google.co.il/intl/iw/help/basics.html	http://www.google.co.il/intl/iw/help/customize.html	http://www.google.co.il/intl/iw/help/refinesearch.html	http://groups.google.com/	http://images.google.com/	http://services.google.com/tc/Welcome.html	http://toolbar.google.com/	http://directory.google.com/	http://www.google.co.il/intl/iw/contact	http://video.google.com/?hl=en&tab=wv	http://maps.google.com/maphp?hl=en&tab=wl	http://blogsearch.google.com/	http://books.google.com/	http://catalogs.google.com/	https://checkout.google.com/	http://desktop.google.com/?utm_source=en-et-more&utm_medium=et&utm_campaign=en	http://earth.google.com/	http://froogle.google.com/	http://news.google.com/	http://scholar.google.com/	http://www.google.com/options/specialsearches.html	http://toolbar.google.com/?utm_source=en-et-more&utm_medium=et&utm_campaign=en	http://video.google.com/	http://www.google.com/help/features.html	http://code.google.com/	http://labs.google.com/	http://www.blogger.com/	http://gmail.google.com/	http://www.picasa.com/index.php?tid=Y2NpZD0zNzQ4	http://sketchup.google.com/	http://www.google.com/gmm/index.html?utm_source=us-et-more&utm_medium=et&utm_campaign=gmm	http://mobile.google.com/	http://sms.google.com/	http://pack.google.com/intl/en/pack_installer.html?hl=en&gl=us&utm_source=en_US-et-more&utm_medium=et&utm_campaign=en_US	http://webaccelerator.google.com/	http://www.google.co.il/ads	http://www.google.co.il/services	http://www.google.com/about.html	http://www.google.com/intl/en_us/ads/ads_3x.html	http://www.google.com/services/	http://www.google.com/webmasters/index2.html	http://www.google.com/support/webmasters/bin/answer.py?hl=en&answer=156412	http://www.google.com/enterprise/search/gsa.html	http://www.google.com/enterprise/search/mini.html	http://www.google.com/intl/en/jobs/index.html	http://www.google.com/sitemap.html	https://www.google.com/adsense/login/en_US/?sourceid=aso&subid=us-et-wbmstr&gsessionid=VpOgsfQ9xVrGB_quKxbv9w	http://www.google.co.il/intl/iw/press/pressreleases.html	http://www.google.co.il/intl/iw/press/images.html	http://www.google.co.il/intl/iw/corporate/tech.html	http://investor.google.com/	http://www.google.com/intl/en/press	http://www.google.co.il/intl/iw/press/pressrel/rndcenter.html	http://www.google.co.il/intl/iw/press/pressrel/rndcenter_en.html	http://www.google.com/intl/en/press/intl-zeitgeist.html	http://www.google.co.il/intl/iw/corporate/business.html	http://www.google.co.il/intl/iw/corporate/execs.html	http://www.google.co.il/intl/iw/index.html	http://www.google.co.il/intl/iw/press/facts.html	http://www.google.co.il/press/index.html	http://www.google.co.il/support/jobs/bin/answer.py?answer=49286	http://www.google.co.il/support/jobs/bin/answer.py?answer=49285	http://www.google.co.il/support/jobs/bin/answer.py?answer=47300	http://www.google.co.il/support/jobs/bin/answer.py?answer=47303	http://www.google.co.il/support/jobs/bin/answer.py?answer=50359	http://www.google.co.il/support/jobs/bin/answer.py?answer=50360	http://www.google.co.il/support/jobs/bin/answer.py?answer=47302
http://www.google.com/	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://groups.google.co.il/grphp?ie=ISO-8859-8-I&oe=ISO-8859-8-I&hl=iw&tab=wg	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.google.com/intl/iw/ads	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.google.co.il/	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.google.co.il/intl/iw/about.html	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.google.com/adsense/?hl=iw&sourceid=aso&subid=ww-iw-et-ads&medium=link	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.google.com/intl/iw/about.html	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.google.co.il/intl/iw/ads	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.google.co.il/intl/iw/help/index.html	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
http://www.google.co.il/intl/iw/options/index.html	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
