"","btw"
"Damian Lillard",109.303576032136
"CJ McCollum",109.303576032136
"Jusuf Nurkic",216.953359484042
"Al-Farouq Aminu",744.704818279043
"Seth Curry",1177.99257975465
"Maurice Harkless",376.562461134314
"Jake Layman",18.1446301159174
"Evan Turner",906.779422188343
"Zach Collins",11.794027866623
"Nik Stauskas",757.968480949839
"Meyers Leonard",109.303576032136
"Anfernee Simons",0
"Gary Trent Jr.",0
"Caleb Swanigan",11.794027866623
"Wade Baldwin IV",11.794027866623
"Giannis Antetokounmpo",153.660665989289
"Khris Middleton",211.972628872176
"Eric Bledsoe",1013.43985352888
"Malcolm Brogdon",30.5808927279489
"Brook Lopez",1221.51359873707
"Christian Wood",530.369090438921
"Pat Connaughton",437.727494854109
"Ersan Ilyasova",1326.31891176295
"Sterling Brown",15.1445047525457
"Tony Snell",351.40581171651
"Matthew Dellavedova",316.330966430576
"D.J. Wilson",15.1445047525457
"John Henson",218.577945837709
"Thon Maker",30.5808927279489
"Bonzie Colson",0
"Donte DiVincenzo",0
"Jaylen Morris",183.670852956416
"Trevon Duval",0
"Zach LaVine",278.984048421757
"JaKarr Sampson",881.77095647736
"Lauri Markkanen",25.8305510516766
"Jabari Parker",509.883917675588
"Walter Lemon Jr.",182.821914962187
"Bobby Portis",253.403521967667
"Kris Dunn",149.447081582917
"Justin Holiday",1465.39937901362
"Wendell Carter Jr.",0
"Robin Lopez",1357.92890607969
"Antonio Blakeney",25.8305510516766
"Ryan Arcidiacono",25.8305510516766
"Shaquille Harrison",231.289550101473
"Cameron Payne",428.370786944477
"Chandler Hutchison",0
"Brandon Sampson",0
"Cristiano Felicio",253.403521967667
"Rawle Alkins",0
"Tyler Ulis",304.714827315314
"Kevin Love",357.352661932401
"Jordan Clarkson",330.95736073296
"Collin Sexton",0
"Cedi Osman",38.775125879421
"Rodney Hood",404.381327648275
"Tristan Thompson",224.691234274555
"Larry Nance Jr.",214.410749902969
"Kyle Korver",870.257881632655
"Ante Zizic",38.775125879421
"George Hill",1230.37211293467
"JR Smith",38.775125879421
"David Nwaba",504.66769998684
