"","btw_all"
"¨¢lex Abrines",0
"Quincy Acy",3122.35212436533
"Jaylen Adams",0
"Steven Adams",814.505554756604
"Bam Adebayo",0
"Deng Adel",0
"LaMarcus Aldridge",3730.35785393377
"Rawle Alkins",0
"Grayson Allen",0
"Jarrett Allen",3.98816390093963
"Kadeem Allen",0
"Al-Farouq Aminu",4347.07157853527
"Justin Anderson",3317.3221526583
"Kyle Anderson",1453.16319739072
"Ryan Anderson",4594.81784809328
"Giannis Antetokounmpo",402.812667675183
"Carmelo Anthony",13983.1557276732
"OG Anunoby",4.19261481203926
"Ryan Arcidiacono",0
"Trevor Ariza",16936.7990836087
"D.J. Augustin",23492.8469361538
"Deandre Ayton",0
"Dwayne Bacon",0
"Marvin Bagley",0
"Ron Baker",379.421260102431
"Wade Baldwin",365.003430407081
"Lonzo Ball",195.696277768059
"Mohamed Bamba",0
"J.J. Barea",3455.96802178611
"Harrison Barnes",2252.17399710653
"Will Barton",2241.89975924844
"Keita Bates-Diop",0
"Nicolas Batum",3218.77678701026
"Jerryd Bayless",5915.78393447009
"Aron Baynes",3641.18098657335
"Kent Bazemore",3958.24297177387
"Bradley Beal",935.338829897908
"Malik Beasley",252.457839885729
"Michael Beasley",5029.90789547113
"Marco Belinelli",6034.17158323729
"Jordan Bell",18.5895916071593
"DeAndre' Bembry",1056.91827286453
"Dragan Bender",184.664425382548
"Dairis Bert?ns",0
"D?vis Bert?ns",30.5158660326624
"Patrick Beverley",904.176126833224
"Khem Birch",0
"Bismack Biyombo",5708.70906930612
"Nemanja Bjelica",560.862951918805
"Antonio Blakeney",0
"Eric Bledsoe",2118.84994928241
"Jaron Blossomgame",0
"Bogdan Bogdanovi?",38.2704151709839
"Bojan Bogdanovi?",572.420507241661
"Andrew Bogut",8077.34050417705
"Jonah Bolden",0
"Isaac Bonga",0
"Devin Booker",261.645592071778
"Chris Boucher",0
"Avery Bradley",5217.24927547353
"Corey Brewer",12037.100060606
"Mikal Bridges",0
"Miles Bridges",0
"Isaiah Briscoe",0
"Ryan Broekhoff",0
"Malcolm Brogdon",60.7270724413628
"Dillon Brooks",177.156991777449
"MarShon Brooks",1523.41096440896
"Bruce Brown",0
"Jaylen Brown",162.029728515488
"Lorenzo Brown",924.47421022193
"Sterling Brown",0
"Troy Brown",0
"Jalen Brunson",0
"Thomas Bryant",0
"Reggie Bullock",1835.74084057241
"Trey Burke",2756.62327749177
"Alec Burks",5556.53778784245
"Deonte Burton",0
"Jimmy Butler",3955.41113587743
"Bruno Caboclo",0
"Jos¨¦ Calder¨®n",7805.45588310354
"Kentavious Caldwell-Pope",1769.91865834159
"Isaiah Canaan",5168.6378166853
"Clint Capela",246.082286666343
"DeMarre Carroll",2779.32312203111
"Jevon Carter",0
"Vince Carter",32886.0212936842
"Wendell Carter",0
"Michael Carter-Williams",9204.10479479767
"Alex Caruso",0
"Omri Casspi",4176.97018340662
"Willie Cauley-Stein",314.393597853042
"Tyler Cavanaugh",0
"Tyson Chandler",17701.5304645655
"Wilson Chandler",6211.10044672877
"Marquese Chriss",1360.20526544255
"Gary Clark",0
"Ian Clark",1634.15913163715
"Jordan Clarkson",520.191107994102
"John Collins",33.2315056313615
"Zach Collins",0
"Darren Collison",5972.62425143546
"Mike Conley",3233.56319754384
"Pat Connaughton",1158.41280904832
"Quinn Cook",18.5895916071593
"DeMarcus Cousins",2392.50735902754
"Robert Covington",5946.40498498766
"Allen Crabbe",2206.08143901994
"Torrey Craig",0
"Jamal Crawford",15127.120120788
"Jae Crowder",4059.78536015289
"Dante Cunningham",9488.79903637666
"Seth Curry",642.78021434766
"Stephen Curry",2392.5292041195
"Troy Daniels",6012.86871358754
"Anthony Davis",724.020906070016
"Ed Davis",6200.41481009504
"Dewayne Dedmon",2662.96802770407
"Sam Dekker",109.766941106504
"Matthew Dellavedova",2347.69677457137
"Luol Deng",10725.6744184406
"DeMar DeRozan",2309.48728226766
"Marcus Derrickson",0
"Cheick Diallo",65.741839417892
"Hamidou Diallo",0
"Gorgui Dieng",722.289158105112
"Spencer Dinwiddie",860.428618868603
"Donte DiVincenzo",0
"Luka Don?i?",0
"Tyler Dorsey",709.606236647742
"Damyean Dotson",0
"Goran Dragi?",2410.72255086111
"Andre Drummond",679.552972620401
"Jared Dudley",6847.35327687948
"Kris Dunn",243.11664579013
"Kevin Durant",2958.785009514
"Henry Ellenson",359.145742002812
"Wayne Ellington",5369.09714164232
"Joel Embiid",1002.11914778272
"James Ennis",2384.10932290425
"Drew Eubanks",0
"Jacob Evans",0
"Tyreke Evans",3803.40290202795
"Dante Exum",261.700289107671
"Kenneth Faried",1931.88410015044
"Derrick Favors",2079.53467931212
"Cristiano Fel¨ªcio",2143.46261816754
"Raymond Felton",10336.3315053557
"Terrance Ferguson",60.0240324024093
"Yogi Ferrell",918.966161445973
"Dorian Finney-Smith",108.894003315891
"Bryn Forbes",115.262352561881
"Evan Fournier",1457.1235454438
"De'Aaron Fox",38.2704151709839
"Melvin Frazier",0
"Tim Frazier",4841.65108158222
"Channing Frye",8393.13361345768
"Markelle Fultz",0
"Danilo Gallinari",3942.32473933738
"Langston Galloway",2198.4576203181
"Marc Gasol",4200.96378503033
