"","clv$membership","player"
"1",6,"Damian Lillard"
"2",6,"CJ McCollum"
"3",6,"Jusuf Nurkic"
"4",6,"Al-Farouq Aminu"
"5",6,"Seth Curry"
"6",6,"Maurice Harkless"
"7",6,"Jake Layman"
"8",6,"Evan Turner"
"9",6,"Zach Collins"
"10",12,"Nik Stauskas"
"11",6,"Meyers Leonard"
"12",6,"Anfernee Simons"
"13",6,"Gary Trent Jr."
"14",6,"Caleb Swanigan"
"15",6,"Wade Baldwin IV"
"16",2,"Giannis Antetokounmpo"
"17",2,"Khris Middleton"
"18",12,"Eric Bledsoe"
"19",2,"Malcolm Brogdon"
"20",2,"Brook Lopez"
"21",2,"Christian Wood"
"22",6,"Pat Connaughton"
"23",2,"Ersan Ilyasova"
"24",2,"Sterling Brown"
"25",2,"Tony Snell"
"26",2,"Matthew Dellavedova"
"27",2,"D.J. Wilson"
"28",2,"John Henson"
"29",2,"Thon Maker"
"30",2,"Bonzie Colson"
"31",2,"Donte DiVincenzo"
"32",2,"Jaylen Morris"
"33",2,"Trevon Duval"
"34",13,"Zach LaVine"
"35",13,"JaKarr Sampson"
"36",13,"Lauri Markkanen"
"37",2,"Jabari Parker"
"38",13,"Walter Lemon Jr."
"39",13,"Bobby Portis"
"40",13,"Kris Dunn"
"41",13,"Justin Holiday"
"42",13,"Wendell Carter Jr."
"43",13,"Robin Lopez"
"44",13,"Antonio Blakeney"
"45",13,"Ryan Arcidiacono"
"46",13,"Shaquille Harrison"
"47",13,"Cameron Payne"
"48",13,"Chandler Hutchison"
"49",13,"Brandon Sampson"
"50",13,"Cristiano Felicio"
"51",13,"Rawle Alkins"
"52",12,"Tyler Ulis"
"53",1,"Kevin Love"
"54",1,"Jordan Clarkson"
"55",1,"Collin Sexton"
"56",1,"Cedi Osman"
"57",4,"Rodney Hood"
"58",1,"Tristan Thompson"
"59",1,"Larry Nance Jr."
"60",7,"Kyle Korver"
"61",1,"Ante Zizic"
"62",1,"George Hill"
"63",1,"JR Smith"
"64",1,"David Nwaba"
"65",12,"Sam Dekker"
"66",1,"Jalen Jones"
"67",1,"Jaron Blossomgame"
"68",1,"Channing Frye"
"69",14,"Patrick McCaw"
"70",1,"Deng Adel"
"71",1,"John Holland"
"72",1,"Kobi Simmons"
"73",8,"Kyrie Irving"
"74",8,"RJ Hunter"
"75",8,"Jayson Tatum"
"76",8,"Marcus Morris"
"77",8,"Al Horford"
"78",8,"Jaylen Brown"
"79",4,"Gordon Hayward"
"80",8,"Terry Rozier"
"81",8,"Marcus Smart"
"82",8,"Daniel Theis"
"83",8,"Aron Baynes"
"84",8,"Brad Wanamaker"
"85",8,"Semi Ojeleye"
"86",8,"PJ Dozier"
"87",8,"Robert Williams III"
"88",8,"Guerschon Yabusele"
"89",8,"Tobias Harris"
"90",12,"Lou Williams"
"91",11,"Danilo Gallinari"
"92",12,"Montrezl Harrell"
"93",12,"Shai Gilgeous-Alexander"
"94",8,"Avery Bradley"
"95",12,"Patrick Beverley"
"96",8,"Boban Marjanovic"
"97",7,"Mike Scott"
"98",12,"Luc Mbah a Moute"
"99",15,"Marcin Gortat"
"100",6,"Johnathan Motley"
"101",12,"Tyrone Wallace"
"102",12,"Jerome Robinson"
