"","deg","node"
"Damian Lillard",26,"Damian Lillard"
"CJ McCollum",26,"CJ McCollum"
"Jusuf Nurkic",28,"Jusuf Nurkic"
"Al-Farouq Aminu",42,"Al-Farouq Aminu"
"Seth Curry",51,"Seth Curry"
"Maurice Harkless",33,"Maurice Harkless"
"Jake Layman",20,"Jake Layman"
"Evan Turner",42,"Evan Turner"
"Zach Collins",18,"Zach Collins"
"Nik Stauskas",41,"Nik Stauskas"
"Meyers Leonard",26,"Meyers Leonard"
"Anfernee Simons",14,"Anfernee Simons"
"Gary Trent Jr.",14,"Gary Trent Jr."
"Caleb Swanigan",18,"Caleb Swanigan"
"Wade Baldwin IV",18,"Wade Baldwin IV"
"Giannis Antetokounmpo",29,"Giannis Antetokounmpo"
"Khris Middleton",31,"Khris Middleton"
"Eric Bledsoe",52,"Eric Bledsoe"
"Malcolm Brogdon",22,"Malcolm Brogdon"
"Brook Lopez",50,"Brook Lopez"
"Christian Wood",34,"Christian Wood"
"Pat Connaughton",34,"Pat Connaughton"
"Ersan Ilyasova",58,"Ersan Ilyasova"
"Sterling Brown",20,"Sterling Brown"
"Tony Snell",33,"Tony Snell"
"Matthew Dellavedova",31,"Matthew Dellavedova"
"D.J. Wilson",20,"D.J. Wilson"
"John Henson",31,"John Henson"
"Thon Maker",22,"Thon Maker"
"Bonzie Colson",17,"Bonzie Colson"
"Donte DiVincenzo",17,"Donte DiVincenzo"
"Jaylen Morris",29,"Jaylen Morris"
"Trevon Duval",17,"Trevon Duval"
"Zach LaVine",31,"Zach LaVine"
"JaKarr Sampson",41,"JaKarr Sampson"
"Lauri Markkanen",22,"Lauri Markkanen"
"Jabari Parker",37,"Jabari Parker"
"Walter Lemon Jr.",29,"Walter Lemon Jr."
"Bobby Portis",35,"Bobby Portis"
"Kris Dunn",28,"Kris Dunn"
"Justin Holiday",52,"Justin Holiday"
"Wendell Carter Jr.",18,"Wendell Carter Jr."
"Robin Lopez",55,"Robin Lopez"
"Antonio Blakeney",22,"Antonio Blakeney"
"Ryan Arcidiacono",22,"Ryan Arcidiacono"
"Shaquille Harrison",30,"Shaquille Harrison"
"Cameron Payne",33,"Cameron Payne"
"Chandler Hutchison",18,"Chandler Hutchison"
"Brandon Sampson",18,"Brandon Sampson"
"Cristiano Felicio",35,"Cristiano Felicio"
"Rawle Alkins",18,"Rawle Alkins"
"Tyler Ulis",33,"Tyler Ulis"
"Kevin Love",42,"Kevin Love"
"Jordan Clarkson",41,"Jordan Clarkson"
"Collin Sexton",19,"Collin Sexton"
"Cedi Osman",27,"Cedi Osman"
"Rodney Hood",40,"Rodney Hood"
"Tristan Thompson",36,"Tristan Thompson"
"Larry Nance Jr.",37,"Larry Nance Jr."
"Kyle Korver",57,"Kyle Korver"
"Ante Zizic",27,"Ante Zizic"
"George Hill",53,"George Hill"
"JR Smith",27,"JR Smith"
"David Nwaba",40,"David Nwaba"
"Sam Dekker",43,"Sam Dekker"
"Jalen Jones",30,"Jalen Jones"
"Jaron Blossomgame",19,"Jaron Blossomgame"
"Channing Frye",58,"Channing Frye"
"Patrick McCaw",35,"Patrick McCaw"
"Deng Adel",19,"Deng Adel"
"John Holland",27,"John Holland"
"Kobi Simmons",33,"Kobi Simmons"
"Kyrie Irving",30,"Kyrie Irving"
"RJ Hunter",48,"RJ Hunter"
"Jayson Tatum",17,"Jayson Tatum"
"Marcus Morris",51,"Marcus Morris"
"Al Horford",45,"Al Horford"
"Jaylen Brown",26,"Jaylen Brown"
"Gordon Hayward",35,"Gordon Hayward"
"Terry Rozier",27,"Terry Rozier"
"Marcus Smart",30,"Marcus Smart"
"Daniel Theis",17,"Daniel Theis"
"Aron Baynes",39,"Aron Baynes"
"Brad Wanamaker",15,"Brad Wanamaker"
"Semi Ojeleye",17,"Semi Ojeleye"
"PJ Dozier",25,"PJ Dozier"
"Robert Williams III",15,"Robert Williams III"
"Guerschon Yabusele",17,"Guerschon Yabusele"
"Tobias Harris",48,"Tobias Harris"
"Lou Williams",33,"Lou Williams"
"Danilo Gallinari",41,"Danilo Gallinari"
"Montrezl Harrell",34,"Montrezl Harrell"
"Shai Gilgeous-Alexander",16,"Shai Gilgeous-Alexander"
"Avery Bradley",48,"Avery Bradley"
"Patrick Beverley",43,"Patrick Beverley"
"Boban Marjanovic",37,"Boban Marjanovic"
"Mike Scott",46,"Mike Scott"
"Luc Mbah a Moute",56,"Luc Mbah a Moute"
"Marcin Gortat",43,"Marcin Gortat"
"Johnathan Motley",28,"Johnathan Motley"
"Tyrone Wallace",23,"Tyrone Wallace"
"Jerome Robinson",16,"Jerome Robinson"
"Milos Teodosic",23,"Milos Teodosic"
"Angel Delgado",16,"Angel Delgado"
"Sindarius Thornwell",23,"Sindarius Thornwell"
"Mike Conley",46,"Mike Conley"
"Jaren Jackson Jr.",20,"Jaren Jackson Jr."
"Marc Gasol",45,"Marc Gasol"
"JaMychal Green",38,"JaMychal Green"
"Bruno Caboclo",41,"Bruno Caboclo"
"Kyle Anderson",36,"Kyle Anderson"
"Garrett Temple",47,"Garrett Temple"
"Shelvin Mack",62,"Shelvin Mack"
"Dillon Brooks",26,"Dillon Brooks"
"Chandler Parsons",56,"Chandler Parsons"
"Joakim Noah",50,"Joakim Noah"
"Wayne Selden",38,"Wayne Selden"
"MarShon Brooks",34,"MarShon Brooks"
"Omri Casspi",67,"Omri Casspi"
"Ivan Rabb",26,"Ivan Rabb"
"Jevon Carter",20,"Jevon Carter"
"Dusty Hannahs",20,"Dusty Hannahs"
"Andrew Harrison",29,"Andrew Harrison"
"Yuta Watanabe",20,"Yuta Watanabe"
"Julian Washburn",20,"Julian Washburn"
"DJ Stephens",27,"DJ Stephens"
"John Collins",28,"John Collins"
"Trae Young",21,"Trae Young"
"Taurean Prince",34,"Taurean Prince"
"Kent Bazemore",46,"Kent Bazemore"
"Alex Len",49,"Alex Len"
"Dewayne Dedmon",56,"Dewayne Dedmon"
"Kevin Huerter",21,"Kevin Huerter"
"Jeremy Lin",64,"Jeremy Lin"
"DeAndre' Bembry",28,"DeAndre' Bembry"
"Tyler Zeller",54,"Tyler Zeller"
"Vince Carter",59,"Vince Carter"
"Tyler Dorsey",28,"Tyler Dorsey"
"Omari Spellman",21,"Omari Spellman"
"Alex Poythress",43,"Alex Poythress"
"Miles Plumlee",57,"Miles Plumlee"
"Deyonta Davis",37,"Deyonta Davis"
"Justin Anderson",51,"Justin Anderson"
"BJ Johnson",21,"BJ Johnson"
"Jaylen Adams",21,"Jaylen Adams"
"Isaac Humphries",21,"Isaac Humphries"
"Jordan Sibert",21,"Jordan Sibert"
"Daniel Hamilton",31,"Daniel Hamilton"
"Josh Richardson",18,"Josh Richardson"
"Dwyane Wade",47,"Dwyane Wade"
"Goran Dragic",38,"Goran Dragic"
"Justise Winslow",18,"Justise Winslow"
"Hassan Whiteside",31,"Hassan Whiteside"
"Dion Waiters",33,"Dion Waiters"
"Tyler Johnson",20,"Tyler Johnson"
"Wayne Ellington",41,"Wayne Ellington"
"Kelly Olynyk",36,"Kelly Olynyk"
"Bam Adebayo",16,"Bam Adebayo"
"James Johnson",46,"James Johnson"
"Rodney McGruder",16,"Rodney McGruder"
"Derrick Jones Jr.",28,"Derrick Jones Jr."
"Duncan Robinson",15,"Duncan Robinson"
"Udonis Haslem",22,"Udonis Haslem"
"Yante Maten",15,"Yante Maten"
"Kemba Walker",26,"Kemba Walker"
"Jeremy Lamb",30,"Jeremy Lamb"
"Cody Zeller",25,"Cody Zeller"
"Marvin Williams",37,"Marvin Williams"
"Tony Parker",36,"Tony Parker"
"Nicolas Batum",37,"Nicolas Batum"
"Malik Monk",18,"Malik Monk"
"Frank Kaminsky",22,"Frank Kaminsky"
"Miles Bridges",15,"Miles Bridges"
"Dwayne Bacon",18,"Dwayne Bacon"
"Willy Hernangomez",32,"Willy Hernangomez"
"Michael Kidd-Gilchrist",25,"Michael Kidd-Gilchrist"
