"","deg_all","node"
"¨¢lex Abrines",14,"¨¢lex Abrines"
"Quincy Acy",95,"Quincy Acy"
"Jaylen Adams",16,"Jaylen Adams"
"Steven Adams",49,"Steven Adams"
"Bam Adebayo",15,"Bam Adebayo"
"Deng Adel",21,"Deng Adel"
"LaMarcus Aldridge",98,"LaMarcus Aldridge"
"Rawle Alkins",18,"Rawle Alkins"
"Grayson Allen",16,"Grayson Allen"
"Jarrett Allen",16,"Jarrett Allen"
"Kadeem Allen",19,"Kadeem Allen"
"Al-Farouq Aminu",90,"Al-Farouq Aminu"
"Justin Anderson",53,"Justin Anderson"
"Kyle Anderson",56,"Kyle Anderson"
"Ryan Anderson",116,"Ryan Anderson"
"Giannis Antetokounmpo",48,"Giannis Antetokounmpo"
"Carmelo Anthony",141,"Carmelo Anthony"
"OG Anunoby",20,"OG Anunoby"
"Ryan Arcidiacono",18,"Ryan Arcidiacono"
"Trevor Ariza",177,"Trevor Ariza"
"D.J. Augustin",153,"D.J. Augustin"
"Deandre Ayton",17,"Deandre Ayton"
"Dwayne Bacon",13,"Dwayne Bacon"
"Marvin Bagley",17,"Marvin Bagley"
"Ron Baker",32,"Ron Baker"
"Wade Baldwin",32,"Wade Baldwin"
"Lonzo Ball",22,"Lonzo Ball"
"Mohamed Bamba",15,"Mohamed Bamba"
"J.J. Barea",116,"J.J. Barea"
"Harrison Barnes",70,"Harrison Barnes"
"Will Barton",62,"Will Barton"
"Keita Bates-Diop",18,"Keita Bates-Diop"
"Nicolas Batum",85,"Nicolas Batum"
"Jerryd Bayless",133,"Jerryd Bayless"
"Aron Baynes",52,"Aron Baynes"
"Kent Bazemore",80,"Kent Bazemore"
"Bradley Beal",56,"Bradley Beal"
"Malik Beasley",26,"Malik Beasley"
"Michael Beasley",122,"Michael Beasley"
"Marco Belinelli",122,"Marco Belinelli"
"Jordan Bell",19,"Jordan Bell"
"DeAndre' Bembry",30,"DeAndre' Bembry"
"Dragan Bender",32,"Dragan Bender"
"Dairis Bert?ns",16,"Dairis Bert?ns"
"D?vis Bert?ns",18,"D?vis Bert?ns"
"Patrick Beverley",69,"Patrick Beverley"
"Khem Birch",15,"Khem Birch"
"Bismack Biyombo",76,"Bismack Biyombo"
"Nemanja Bjelica",39,"Nemanja Bjelica"
"Antonio Blakeney",18,"Antonio Blakeney"
"Eric Bledsoe",85,"Eric Bledsoe"
"Jaron Blossomgame",21,"Jaron Blossomgame"
"Bogdan Bogdanovi?",20,"Bogdan Bogdanovi?"
"Bojan Bogdanovi?",40,"Bojan Bogdanovi?"
"Andrew Bogut",116,"Andrew Bogut"
"Jonah Bolden",19,"Jonah Bolden"
"Isaac Bonga",18,"Isaac Bonga"
"Devin Booker",39,"Devin Booker"
"Chris Boucher",19,"Chris Boucher"
"Avery Bradley",109,"Avery Bradley"
"Corey Brewer",156,"Corey Brewer"
"Mikal Bridges",17,"Mikal Bridges"
"Miles Bridges",13,"Miles Bridges"
"Isaiah Briscoe",15,"Isaiah Briscoe"
"Ryan Broekhoff",17,"Ryan Broekhoff"
"Malcolm Brogdon",25,"Malcolm Brogdon"
"Dillon Brooks",30,"Dillon Brooks"
"MarShon Brooks",73,"MarShon Brooks"
"Bruce Brown",15,"Bruce Brown"
"Jaylen Brown",23,"Jaylen Brown"
"Lorenzo Brown",54,"Lorenzo Brown"
"Sterling Brown",17,"Sterling Brown"
"Troy Brown",18,"Troy Brown"
"Jalen Brunson",17,"Jalen Brunson"
"Thomas Bryant",18,"Thomas Bryant"
"Reggie Bullock",85,"Reggie Bullock"
"Trey Burke",73,"Trey Burke"
"Alec Burks",89,"Alec Burks"
"Deonte Burton",14,"Deonte Burton"
"Jimmy Butler",78,"Jimmy Butler"
"Bruno Caboclo",23,"Bruno Caboclo"
"Jos¨¦ Calder¨®n",144,"Jos¨¦ Calder¨®n"
"Kentavious Caldwell-Pope",59,"Kentavious Caldwell-Pope"
"Isaiah Canaan",81,"Isaiah Canaan"
"Clint Capela",46,"Clint Capela"
"DeMarre Carroll",80,"DeMarre Carroll"
"Jevon Carter",23,"Jevon Carter"
"Vince Carter",207,"Vince Carter"
"Wendell Carter",18,"Wendell Carter"
"Michael Carter-Williams",99,"Michael Carter-Williams"
"Alex Caruso",18,"Alex Caruso"
"Omri Casspi",117,"Omri Casspi"
"Willie Cauley-Stein",39,"Willie Cauley-Stein"
"Tyler Cavanaugh",16,"Tyler Cavanaugh"
"Tyson Chandler",179,"Tyson Chandler"
"Wilson Chandler",113,"Wilson Chandler"
"Marquese Chriss",54,"Marquese Chriss"
"Gary Clark",17,"Gary Clark"
"Ian Clark",60,"Ian Clark"
"Jordan Clarkson",50,"Jordan Clarkson"
"John Collins",19,"John Collins"
"Zach Collins",16,"Zach Collins"
"Darren Collison",103,"Darren Collison"
"Mike Conley",107,"Mike Conley"
"Pat Connaughton",35,"Pat Connaughton"
"Quinn Cook",19,"Quinn Cook"
"DeMarcus Cousins",89,"DeMarcus Cousins"
"Robert Covington",69,"Robert Covington"
"Allen Crabbe",47,"Allen Crabbe"
"Torrey Craig",15,"Torrey Craig"
"Jamal Crawford",178,"Jamal Crawford"
"Jae Crowder",83,"Jae Crowder"
"Dante Cunningham",117,"Dante Cunningham"
"Seth Curry",44,"Seth Curry"
"Stephen Curry",75,"Stephen Curry"
"Troy Daniels",96,"Troy Daniels"
"Anthony Davis",58,"Anthony Davis"
"Ed Davis",96,"Ed Davis"
"Dewayne Dedmon",78,"Dewayne Dedmon"
"Sam Dekker",31,"Sam Dekker"
"Matthew Dellavedova",74,"Matthew Dellavedova"
"Luol Deng",134,"Luol Deng"
"DeMar DeRozan",82,"DeMar DeRozan"
"Marcus Derrickson",16,"Marcus Derrickson"
"Cheick Diallo",26,"Cheick Diallo"
"Hamidou Diallo",14,"Hamidou Diallo"
"Gorgui Dieng",54,"Gorgui Dieng"
"Spencer Dinwiddie",57,"Spencer Dinwiddie"
"Donte DiVincenzo",17,"Donte DiVincenzo"
"Luka Don?i?",17,"Luka Don?i?"
"Tyler Dorsey",39,"Tyler Dorsey"
"Damyean Dotson",19,"Damyean Dotson"
"Goran Dragi?",101,"Goran Dragi?"
"Andre Drummond",56,"Andre Drummond"
"Jared Dudley",133,"Jared Dudley"
"Kris Dunn",33,"Kris Dunn"
"Kevin Durant",85,"Kevin Durant"
"Henry Ellenson",32,"Henry Ellenson"
"Wayne Ellington",129,"Wayne Ellington"
"Joel Embiid",32,"Joel Embiid"
"James Ennis",84,"James Ennis"
"Drew Eubanks",14,"Drew Eubanks"
"Jacob Evans",16,"Jacob Evans"
"Tyreke Evans",109,"Tyreke Evans"
"Dante Exum",35,"Dante Exum"
"Kenneth Faried",75,"Kenneth Faried"
"Derrick Favors",77,"Derrick Favors"
"Cristiano Fel¨ªcio",35,"Cristiano Fel¨ªcio"
"Raymond Felton",147,"Raymond Felton"
"Terrance Ferguson",18,"Terrance Ferguson"
"Yogi Ferrell",53,"Yogi Ferrell"
"Dorian Finney-Smith",26,"Dorian Finney-Smith"
"Bryn Forbes",26,"Bryn Forbes"
"Evan Fournier",60,"Evan Fournier"
"De'Aaron Fox",20,"De'Aaron Fox"
"Melvin Frazier",15,"Melvin Frazier"
"Tim Frazier",74,"Tim Frazier"
"Channing Frye",130,"Channing Frye"
"Markelle Fultz",19,"Markelle Fultz"
"Danilo Gallinari",100,"Danilo Gallinari"
"Langston Galloway",69,"Langston Galloway"
"Marc Gasol",111,"Marc Gasol"
"Pau Gasol",138,"Pau Gasol"
"Rudy Gay",129,"Rudy Gay"
"Paul George",68,"Paul George"
"Taj Gibson",87,"Taj Gibson"
"Harry Giles",17,"Harry Giles"
"Shai Gilgeous-Alexander",19,"Shai Gilgeous-Alexander"
"Rudy Gobert",43,"Rudy Gobert"
"Brandon Goodwin",15,"Brandon Goodwin"
"Aaron Gordon",41,"Aaron Gordon"
"Eric Gordon",97,"Eric Gordon"
"Marcin Gortat",108,"Marcin Gortat"
"Devonte' Graham",13,"Devonte' Graham"
"Treveon Graham",29,"Treveon Graham"
"Jerami Grant",55,"Jerami Grant"
"Jerian Grant",47,"Jerian Grant"
"Danny Green",73,"Danny Green"
"Draymond Green",47,"Draymond Green"
"Gerald Green",132,"Gerald Green"
"JaMychal Green",75,"JaMychal Green"
"Jeff Green",157,"Jeff Green"
"Blake Griffin",90,"Blake Griffin"
"Daniel Hamilton",16,"Daniel Hamilton"
"Tim Hardaway",232,"Tim Hardaway"
"James Harden",82,"James Harden"
"Maurice Harkless",59,"Maurice Harkless"
"Montrezl Harrell",39,"Montrezl Harrell"
"Devin Harris",145,"Devin Harris"
"Gary Harris",40,"Gary Harris"
"Joe Harris",48,"Joe Harris"
"Tobias Harris",105,"Tobias Harris"
"Andrew Harrison",42,"Andrew Harrison"
"Shaquille Harrison",18,"Shaquille Harrison"
"Josh Hart",22,"Josh Hart"
"Isaiah Hartenstein",17,"Isaiah Hartenstein"
"Udonis Haslem",108,"Udonis Haslem"
"Gordon Hayward",62,"Gordon Hayward"
"John Henson",62,"John Henson"
"Juan Hernang¨®mez",15,"Juan Hernang¨®mez"
"Willy Hernang¨®mez",13,"Willy Hernang¨®mez"
"Mario Hezonja",47,"Mario Hezonja"
"Buddy Hield",45,"Buddy Hield"
"Nen¨º Hil¨¢rio",124,"Nen¨º Hil¨¢rio"
"George Hill",127,"George Hill"
"Solomon Hill",53,"Solomon Hill"
"Aaron Holiday",15,"Aaron Holiday"
"Jrue Holiday",82,"Jrue Holiday"
"Justin Holiday",97,"Justin Holiday"
"Rondae Hollis-Jefferson",45,"Rondae Hollis-Jefferson"
"Richaun Holmes",39,"Richaun Holmes"
"Rodney Hood",66,"Rodney Hood"
"Al Horford",87,"Al Horford"
"Danuel House",17,"Danuel House"
"Kevin Huerter",16,"Kevin Huerter"
"Chandler Hutchison",18,"Chandler Hutchison"
"Serge Ibaka",84,"Serge Ibaka"
"Andre Iguodala",100,"Andre Iguodala"
"Ersan ?lyasova",113,"Ersan ?lyasova"
"Joe Ingles",37,"Joe Ingles"
"Brandon Ingram",35,"Brandon Ingram"
"Kyrie Irving",72,"Kyrie Irving"
"Jonathan Isaac",18,"Jonathan Isaac"
"Wesley Iwundu",18,"Wesley Iwundu"
"Frank Jackson",16,"Frank Jackson"
"Jaren Jackson",112,"Jaren Jackson"
"Josh Jackson",24,"Josh Jackson"
"Justin Jackson",36,"Justin Jackson"
"Reggie Jackson",71,"Reggie Jackson"
"LeBron James",131,"LeBron James"
"Amile Jefferson",15,"Amile Jefferson"
"John Jenkins",72,"John Jenkins"
"Jonas Jerebko",88,"Jonas Jerebko"
"Alize Johnson",15,"Alize Johnson"
"Amir Johnson",108,"Amir Johnson"
"James Johnson",110,"James Johnson"
"Stanley Johnson",46,"Stanley Johnson"
"Tyler Johnson",54,"Tyler Johnson"
"Wesley Johnson",113,"Wesley Johnson"
"Nikola Joki?",30,"Nikola Joki?"
"Damian Jones",24,"Damian Jones"
"Derrick Jones",29,"Derrick Jones"
"Jalen Jones",21,"Jalen Jones"
"Tyus Jones",34,"Tyus Jones"
"DeAndre Jordan",126,"DeAndre Jordan"
"Cory Joseph",59,"Cory Joseph"
"Frank Kaminsky",30,"Frank Kaminsky"
"Enes Kanter",98,"Enes Kanter"
"Luke Kennard",15,"Luke Kennard"
"Michael Kidd-Gilchrist",46,"Michael Kidd-Gilchrist"
"Maxi Kleber",18,"Maxi Kleber"
"Brandon Knight",106,"Brandon Knight"
"Kevin Knox",19,"Kevin Knox"
"Furkan Korkmaz",19,"Furkan Korkmaz"
"Luke Kornet",19,"Luke Kornet"
"Kyle Korver",156,"Kyle Korver"
"Kosta Koufos",111,"Kosta Koufos"
"Rodions Kurucs",14,"Rodions Kurucs"
"Kyle Kuzma",22,"Kyle Kuzma"
"Skal Labissi¨¨re",20,"Skal Labissi¨¨re"
"Jeremy Lamb",59,"Jeremy Lamb"
"Zach LaVine",52,"Zach LaVine"
"Jake Layman",24,"Jake Layman"
"T.J. Leaf",15,"T.J. Leaf"
"Courtney Lee",161,"Courtney Lee"
"Damion Lee",23,"Damion Lee"
"Alex Len",55,"Alex Len"
"Kawhi Leonard",58,"Kawhi Leonard"
"Meyers Leonard",50,"Meyers Leonard"
"Jon Leuer",77,"Jon Leuer"
"Caris LeVert",32,"Caris LeVert"
"Damian Lillard",50,"Damian Lillard"
"Jeremy Lin",134,"Jeremy Lin"
"Shaun Livingston",160,"Shaun Livingston"
"Kevon Looney",24,"Kevon Looney"
"Brook Lopez",117,"Brook Lopez"
"Robin Lopez",105,"Robin Lopez"
"Kevin Love",100,"Kevin Love"
"Kyle Lowry",116,"Kyle Lowry"
"Jordan Loyd",19,"Jordan Loyd"
"Timoth¨¦ Luwawu-Cabarrot",32,"Timoth¨¦ Luwawu-Cabarrot"
"Tyler Lydon",15,"Tyler Lydon"
"Trey Lyles",34,"Trey Lyles"
"Shelvin Mack",87,"Shelvin Mack"
"Ian Mahinmi",96,"Ian Mahinmi"
"Thon Maker",40,"Thon Maker"
"Boban Marjanovi?",49,"Boban Marjanovi?"
"Lauri Markkanen",22,"Lauri Markkanen"
"Jarell Martin",47,"Jarell Martin"
"Frank Mason",17,"Frank Mason"
"Wesley Matthews",102,"Wesley Matthews"
"Patrick McCaw",36,"Patrick McCaw"
"CJ McCollum",43,"CJ McCollum"
"T.J. McConnell",40,"T.J. McConnell"
"Doug McDermott",54,"Doug McDermott"
"JaVale McGee",119,"JaVale McGee"
"Rodney McGruder",21,"Rodney McGruder"
"Alfonzo McKinnie",16,"Alfonzo McKinnie"
"Ben McLemore",65,"Ben McLemore"
"Jordan McRae",40,"Jordan McRae"
"Salah Mejri",34,"Salah Mejri"
"De'Anthony Melton",17,"De'Anthony Melton"
"Chimezie Metu",14,"Chimezie Metu"
"Khris Middleton",61,"Khris Middleton"
"C.J. Miles",133,"C.J. Miles"
"Darius Miller",35,"Darius Miller"
"Malcolm Miller",19,"Malcolm Miller"
"Patty Mills",67,"Patty Mills"
"Paul Millsap",86,"Paul Millsap"
"Shake Milton",19,"Shake Milton"
"Nikola Miroti?",50,"Nikola Miroti?"
"Donovan Mitchell",18,"Donovan Mitchell"
"Naz Mitrou-Long",16,"Naz Mitrou-Long"
"Malik Monk",13,"Malik Monk"
"Greg Monroe",93,"Greg Monroe"
