"","","","edge_btw"
"1","Damian Lillard","CJ McCollum","1"
"2","Damian Lillard","Jusuf Nurkic","12.5758003918385"
"3","Damian Lillard","Al-Farouq Aminu","25.4929353958667"
"4","Damian Lillard","Seth Curry","48.432570020357"
"5","Damian Lillard","Maurice Harkless","18.1474608225547"
"6","Damian Lillard","Jake Layman","7.75152120795772"
"7","Damian Lillard","Evan Turner","39.8808158572478"
"8","Damian Lillard","Zach Collins","9.78568161740862"
"9","Damian Lillard","Nik Stauskas","41.1597210762063"
"10","Damian Lillard","Meyers Leonard","1"
"11","Damian Lillard","Anfernee Simons","18.3847274507829"
"12","Damian Lillard","Gary Trent Jr.","18.3847274507829"
"13","Damian Lillard","Caleb Swanigan","9.78568161740862"
"14","Damian Lillard","Wade Baldwin IV","9.78568161740862"
"15","Damian Lillard","Pat Connaughton","27.8921294920472"
"16","Damian Lillard","Noah Vonleh","34.1482891838847"
"17","Damian Lillard","Shabazz Napier","34.8148202448818"
"18","Damian Lillard","Ed Davis","40.1119821505757"
"19","Damian Lillard","Allen Crabbe","13.9940142962416"
"20","Damian Lillard","Mason Plumlee","23.9444093652869"
"21","Damian Lillard","Tim Frazier","58.6501020580244"
"22","Damian Lillard","Robin Lopez","76.9179106676265"
"23","Damian Lillard","Nicolas Batum","47.5414110865967"
"24","Damian Lillard","Wesley Matthews","57.4801418890171"
"25","Damian Lillard","Will Barton","20.7687580608231"
"26","Damian Lillard","LaMarcus Aldridge","48.7758590434462"
"27","CJ McCollum","Jusuf Nurkic","12.5758003918385"
"28","CJ McCollum","Al-Farouq Aminu","25.4929353958667"
"29","CJ McCollum","Seth Curry","48.432570020357"
"30","CJ McCollum","Maurice Harkless","18.1474608225547"
"31","CJ McCollum","Jake Layman","7.75152120795772"
"32","CJ McCollum","Evan Turner","39.8808158572478"
"33","CJ McCollum","Zach Collins","9.78568161740862"
"34","CJ McCollum","Nik Stauskas","41.1597210762063"
"35","CJ McCollum","Meyers Leonard","1"
"36","CJ McCollum","Anfernee Simons","18.3847274507829"
"37","CJ McCollum","Gary Trent Jr.","18.3847274507829"
"38","CJ McCollum","Caleb Swanigan","9.78568161740862"
"39","CJ McCollum","Wade Baldwin IV","9.78568161740862"
"40","CJ McCollum","Pat Connaughton","27.8921294920472"
"41","CJ McCollum","Noah Vonleh","34.1482891838847"
"42","CJ McCollum","Shabazz Napier","34.8148202448818"
"43","CJ McCollum","Ed Davis","40.1119821505757"
"44","CJ McCollum","Allen Crabbe","13.9940142962416"
"45","CJ McCollum","Mason Plumlee","23.9444093652869"
"46","CJ McCollum","Tim Frazier","58.6501020580244"
"47","CJ McCollum","Robin Lopez","76.9179106676265"
"48","CJ McCollum","Nicolas Batum","47.5414110865967"
"49","CJ McCollum","Wesley Matthews","57.4801418890171"
"50","CJ McCollum","Will Barton","20.7687580608231"
"51","CJ McCollum","LaMarcus Aldridge","48.7758590434462"
"52","Jusuf Nurkic","Al-Farouq Aminu","42.3446861873705"
"53","Jusuf Nurkic","Seth Curry","69.1277172819877"
"54","Jusuf Nurkic","Maurice Harkless","25.402365949945"
"55","Jusuf Nurkic","Jake Layman","11.3331286675749"
"56","Jusuf Nurkic","Evan Turner","45.9992415509928"
"57","Jusuf Nurkic","Zach Collins","16.798244041251"
"58","Jusuf Nurkic","Nik Stauskas","57.1478298845425"
