"","1","2","weight"
"1","Damian Lillard","CJ McCollum",6
"2","Damian Lillard","Jusuf Nurkic",2
"3","Damian Lillard","Al-Farouq Aminu",4
"4","Damian Lillard","Seth Curry",1
"5","Damian Lillard","Maurice Harkless",4
"6","Damian Lillard","Jake Layman",3
"7","Damian Lillard","Evan Turner",3
"8","Damian Lillard","Zach Collins",2
"9","Damian Lillard","Nik Stauskas",1
"10","Damian Lillard","Meyers Leonard",7
"11","Damian Lillard","Anfernee Simons",1
"12","Damian Lillard","Gary Trent Jr.",1
"13","Damian Lillard","Caleb Swanigan",2
"14","Damian Lillard","Wade Baldwin IV",2
"15","Damian Lillard","Pat Connaughton",3
"16","Damian Lillard","Noah Vonleh",3
"17","Damian Lillard","Shabazz Napier",2
"18","Damian Lillard","Ed Davis",3
"19","Damian Lillard","Allen Crabbe",4
"20","Damian Lillard","Mason Plumlee",2
"21","Damian Lillard","Tim Frazier",1
"22","Damian Lillard","Robin Lopez",2
"23","Damian Lillard","Nicolas Batum",3
"24","Damian Lillard","Wesley Matthews",3
"25","Damian Lillard","Will Barton",3
"26","Damian Lillard","LaMarcus Aldridge",3
"27","CJ McCollum","Jusuf Nurkic",2
"28","CJ McCollum","Al-Farouq Aminu",4
"29","CJ McCollum","Seth Curry",1
"30","CJ McCollum","Maurice Harkless",4
"31","CJ McCollum","Jake Layman",3
"32","CJ McCollum","Evan Turner",3
"33","CJ McCollum","Zach Collins",2
"34","CJ McCollum","Nik Stauskas",1
"35","CJ McCollum","Meyers Leonard",6
"36","CJ McCollum","Anfernee Simons",1
"37","CJ McCollum","Gary Trent Jr.",1
"38","CJ McCollum","Caleb Swanigan",2
"39","CJ McCollum","Wade Baldwin IV",2
"40","CJ McCollum","Pat Connaughton",3
"41","CJ McCollum","Noah Vonleh",3
"42","CJ McCollum","Shabazz Napier",2
"43","CJ McCollum","Ed Davis",3
"44","CJ McCollum","Allen Crabbe",4
"45","CJ McCollum","Mason Plumlee",2
"46","CJ McCollum","Tim Frazier",1
"47","CJ McCollum","Robin Lopez",2
"48","CJ McCollum","Nicolas Batum",2
"49","CJ McCollum","Wesley Matthews",2
"50","CJ McCollum","Will Barton",2
"51","CJ McCollum","LaMarcus Aldridge",2
"52","Jusuf Nurkic","Al-Farouq Aminu",2
"53","Jusuf Nurkic","Seth Curry",1
"54","Jusuf Nurkic","Maurice Harkless",2
"55","Jusuf Nurkic","Jake Layman",2
"56","Jusuf Nurkic","Evan Turner",2
"57","Jusuf Nurkic","Zach Collins",2
"58","Jusuf Nurkic","Nik Stauskas",1
"59","Jusuf Nurkic","Meyers Leonard",2
"60","Jusuf Nurkic","Anfernee Simons",1
"61","Jusuf Nurkic","Gary Trent Jr.",1
"62","Jusuf Nurkic","Caleb Swanigan",2
"63","Jusuf Nurkic","Wade Baldwin IV",2
"64","Jusuf Nurkic","Pat Connaughton",1
"65","Jusuf Nurkic","Noah Vonleh",1
"66","Jusuf Nurkic","Shabazz Napier",1
