"","1","2","weight"
"1","芍lex Abrines","Steven Adams",1
"2","芍lex Abrines","Deonte Burton",1
"3","芍lex Abrines","Hamidou Diallo",1
"4","芍lex Abrines","Raymond Felton",1
"5","芍lex Abrines","Terrance Ferguson",1
"6","芍lex Abrines","Paul George",1
"7","芍lex Abrines","Jerami Grant",1
"8","芍lex Abrines","Timoth谷 Luwawu-Cabarrot",1
"9","芍lex Abrines","Markieff Morris",1
"10","芍lex Abrines","Abdel Nader",1
"11","芍lex Abrines","Nerlens Noel",1
"12","芍lex Abrines","Patrick Patterson",1
"13","芍lex Abrines","Dennis Schr?der",1
"14","芍lex Abrines","Russell Westbrook",1
"15","Quincy Acy","Ryan Anderson",1
"16","Quincy Acy","Trevor Ariza",1
"17","Quincy Acy","Deandre Ayton",1
"18","Quincy Acy","Dragan Bender",1
"19","Quincy Acy","Devin Booker",1
"20","Quincy Acy","Mikal Bridges",1
"21","Quincy Acy","Isaiah Canaan",1
"22","Quincy Acy","Jamal Crawford",1
"23","Quincy Acy","Troy Daniels",1
"24","Quincy Acy","Richaun Holmes",1
"25","Quincy Acy","Josh Jackson",1
"26","Quincy Acy","Tyler Johnson",1
"27","Quincy Acy","De'Anthony Melton",1
"28","Quincy Acy","谷lie Okobo",1
"29","Quincy Acy","Kelly Oubre",1
"30","Quincy Acy","Ray Spalding",1
"31","Quincy Acy","T.J. Warren",1
"32","Quincy Acy","Spencer Dinwiddie",1
"33","Quincy Acy","Yogi Ferrell",1
"34","Quincy Acy","Joe Harris",1
"35","Quincy Acy","Rondae Hollis-Jefferson",1
"36","Quincy Acy","Caris LeVert",1
"37","Quincy Acy","Jeremy Lin",1
"38","Quincy Acy","Brook Lopez",1
"39","Quincy Acy","Anthony Bennett",1
"40","Quincy Acy","Bojan Bogdanovic",1
"41","Quincy Acy","Trevor Booker",1
"42","Quincy Acy","Randy Foye",1
"43","Quincy Acy","Archie Goodwin",1
"44","Quincy Acy","Justin Hamilton",1
"45","Quincy Acy","Sean Kilpatrick",1
"46","Quincy Acy","Chris McCullough",1
"47","Quincy Acy","K.J. McDaniels",1
"48","Quincy Acy","Andrew Nicholson",1
"49","Quincy Acy","Luis Scola",1
"50","Quincy Acy","Isaiah Whitehead",1
"51","Quincy Acy","Marco Belinelli",1
"52","Quincy Acy","Omri Casspi",1
"53","Quincy Acy","Willie Cauley-Stein",1
"54","Quincy Acy","Darren Collison",1
"55","Quincy Acy","DeMarcus Cousins",2
"56","Quincy Acy","Seth Curry",1
"57","Quincy Acy","Rudy Gay",3
"58","Quincy Acy","Kosta Koufos",1
"59","Quincy Acy","Ben McLemore",2
"60","Quincy Acy","Rajon Rondo",1
"61","Quincy Acy","James Anderson",1
"62","Quincy Acy","Caron Butler",1
"63","Quincy Acy","Carmelo Anthony",1
"64","Quincy Acy","Jos谷 Calder車n",2
"65","Quincy Acy","Langston Galloway",1
"66","Quincy Acy","Tim Hardaway",1
"67","Quincy Acy","Iman Shumpert",1
"68","Quincy Acy","J.R. Smith",1
"69","Quincy Acy","Jason Smith",1
"70","Quincy Acy","Lance Thomas",1
"71","Quincy Acy","Cole Aldrich",1
"72","Quincy Acy","Lou Amundson",1
"73","Quincy Acy","Andrea Bargnani",2
"74","Quincy Acy","Cleanthony Early",1
"75","Quincy Acy","Shane Larkin",1
"76","Quincy Acy","Pablo Prigioni",1
"77","Quincy Acy","Amar'e Stoudemire",1
"78","Quincy Acy","Samuel Dalembert",1
"79","Quincy Acy","Ricky Ledo",1
"80","Quincy Acy","Alexey Shved",1
"81","Quincy Acy","Travis Wear",1
"82","Quincy Acy","Patrick Patterson",1
"83","Quincy Acy","Isaiah Thomas",1
"84","Quincy Acy","Marcus Thornton",1
"85","Quincy Acy","Derrick Williams",1
"86","Quincy Acy","Carl Landry",1
"87","Quincy Acy","Ray McCallum",1
"88","Quincy Acy","Jason Thompson",1
"89","Quincy Acy","Greivis V芍squez",1
"90","Quincy Acy","Reggie Evans",1
"91","Quincy Acy","Jimmer Fredette",1
"92","Quincy Acy","Chuck Hayes",1
"93","Quincy Acy","John Salmons",1
"94","Quincy Acy","Aaron Gray",2
"95","Quincy Acy","Hamady N'Diaye",1
"96","Quincy Acy","Travis Outlaw",1
"97","Quincy Acy","Ed Davis",1
"98","Quincy Acy","DeMar DeRozan",1
"99","Quincy Acy","Amir Johnson",1
"100","Quincy Acy","Kyle Lowry",1
"101","Quincy Acy","Terrence Ross",1
"102","Quincy Acy","Jonas Valan?i?nas",1
"103","Quincy Acy","Alan Anderson",1
"104","Quincy Acy","Landry Fields",1
"105","Quincy Acy","John Lucas III",1
"106","Quincy Acy","Sebastian Telfair",1
